gene_id,median_normal,median_tumor,shapiro_norm_pval,shapiro_tumor_pval,conj_shapiro,mannwhitney_pval,medians_equal_mw,wilcoxon_pval,medians_equal_wilcoxon,conj_tests
ENSG00000213830,1.3911,0.3169,1.3172585071513133e-09,2.530313134979679e-32,False,1.6700514497176876e-74,False,,False,False
ENSG00000213856,1.5704,0.0532,9.125237536040779e-06,1.6815586657446737e-36,False,1.338206226327765e-99,False,,False,False
ENSG00000213871,0.205,0.0472,1.285699789924995e-21,1.9405076725928723e-35,False,5.340926041614897e-27,False,,False,False
ENSG00000214076,0.0,0.625,1.0,2.7208780784080674e-30,False,4.128961247009299e-97,False,,False,False
ENSG00000214110,0.0,1.324,1.0,3.0113432855410816e-25,False,1.1615936365644878e-97,False,,False,False
ENSG00000214121,3.3874,0.2125,9.121260996783458e-10,2.5918445708558106e-25,False,2.1195068458280564e-97,False,,False,False
ENSG00000214144,0.7407,0.0148,1.5027783147585973e-12,5.582858706930407e-45,False,3.3598558725533454e-102,False,,False,False
ENSG00000214269,1.2346,0.0468,1.3913533242187734e-16,4.771382666308113e-48,False,3.0999536099227825e-98,False,,False,False
ENSG00000214297,1.6035,0.0572,6.108005334257801e-06,1.0406347054772393e-36,False,1.8450506975298357e-98,False,,False,False
ENSG00000214455,0.0808,4.519,2.45045005421717e-12,2.854099862109173e-24,False,4.250086516026803e-97,False,,False,False
ENSG00000214460,5.4091,0.1746,2.1988849013625804e-14,2.664010947727126e-31,False,1.6045410065561862e-97,False,,False,False
ENSG00000214820,2.2589,0.4054,6.595816598933247e-25,1.6197259427608705e-21,False,1.0239099041656218e-80,False,,False,False
ENSG00000214821,0.7781,0.0,3.6993149774340056e-17,1.7520401320305856e-38,False,5.458265549419289e-103,False,,False,False
ENSG00000214867,0.9298,0.1024,0.0001930531758888494,3.2157324548739263e-35,False,6.1064080202236276e-77,False,,False,False
ENSG00000214892,0.0904,0.0067,2.755104263394437e-15,5.118904095986721e-48,False,6.058060070886846e-73,False,,False,False
ENSG00000215049,1.0498,0.0,5.440038555880899e-21,3.7238495252559445e-41,False,3.497599899103813e-116,False,,False,False
ENSG00000215057,0.589,0.0205,4.106911221427165e-18,6.832318039594478e-37,False,2.919032737655284e-101,False,,False,False
ENSG00000215105,9.5665,2.044,2.820434318552039e-20,2.9753350327845446e-26,False,1.9248219382363828e-57,False,,False,False
ENSG00000215199,0.6666,0.0,1.1648810658535929e-18,2.7150415922115326e-44,False,4.1489223100496937e-97,False,,False,False
ENSG00000215210,1.8985,0.0785,9.78970506730295e-08,1.0182702111436418e-29,False,1.9158178021274322e-97,False,,False,False
ENSG00000215221,0.0,0.0,1.0,8.502721319435641e-43,False,1.1655055611790476e-18,False,,False,False
ENSG00000215347,0.2786,0.4249,1.9518570100904366e-25,3.732514979874223e-22,False,3.7095951340333846e-08,False,,False,False
ENSG00000215478,0.1044,0.4117,6.321267794553218e-17,3.4086060456614207e-26,False,1.667443549280636e-41,False,,False,False
ENSG00000215493,1.6371,0.7452,5.553359787898884e-18,9.614790558192003e-29,False,1.0134650445528512e-30,False,,False,False
ENSG00000215795,0.9079,0.233,1.1672614690774079e-17,4.591432226676249e-27,False,5.144341223580046e-66,False,,False,False
ENSG00000215869,0.0581,0.0087,4.977074490397435e-26,4.17172022167691e-41,False,1.7387307639125635e-34,False,,False,False
